periodo;total;impuestos_sobre_ingresos_brutos;alumbrado_barrido_limpieza;impuesto_patentes;impuesto_sellos;plan_facilidades_pago;contribucion_por_publicidad;gravamenes_varios
abr-20;19240.4;14973.8;1369.3;1354.9;1171.8;249.1;4.2;117.3
may-20;19960.1;16776.5;1535.3;457.7;834.3;301.6;6.1;48.6
jun-20;22778;17490.4;1739.1;1898.3;1217;305.9;20;107.3
jul-20;23452.1;19183.7;1735.5;625.9;1588.8;275.8;12;30.5
ago-20;26778.6;21037.2;1727.6;1943.9;1741.1;276.5;11.6;40.6
sep-20;27814.4;22899.9;1909;774.9;1832.5;274.8;36.1;87.2
oct-20;30303.2;23657.3;1981.7;2149.5;2195.3;280.3;8.1;31
nov-20;28872.1;23367;1954.7;742.1;2425;284.1;6.3;92.8
dic-20;31272.6;23633.5;2250.1;2179.6;2702.7;292.7;33.3;180.7
ene-21;38638.9;28177.9;5719.3;1909;2405.8;292.2;13.4;121.3
feb-21;38863.2;27902.5;3034.3;4065.1;3432.8;292.4;6.2;129.9
mar-21;34049.3;26120.9;2874.3;1144.5;3080.4;510.5;70.4;248.3
abr-21;40842.1;29916.1;2644;3038.3;4313.3;728.1;15.4;186.9
may-21;40668.5;32532;2469.4;990.3;3912.6;648.6;20;95.5
jun-21;43917.6;33075.6;3086;3349;3434.4;725.1;54.6;193
jul-21;43967.1;34552.8;3028.3;1300.6;4219.4;742.7;18.7;104.6
ago-21;48845.5;36424.6;3103.3;3460.1;4847;754.7;36;219.8
sep-21;48735.2;38149.6;3304.2;1489.1;4681.5;729.9;62.6;318.3
oct-21;51702.3;39851.4;2936.4;3159.8;4936.2;589;22.2;207.4
nov-21;52987.6;42764.9;3166.5;1221.8;4959.7;563.7;13.8;297.2
dic-21;58870.9;44439;4304.4;3401.9;5681.5;581.6;56.3;406.2
ene-22;63094.2;47378.4;8090;929.5;5780.5;575.3;12.4;328
feb-22;62066.4;44415;4328.1;7396.6;5054.4;557.7;21.2;293.3
mar-22;55506.3;43795.4;3780;2067.9;4651.8;634.6;113.1;463.4
abr-22;68823.5;52626.5;3748.1;4579.5;6842.2;620.9;31.9;374.4
may-22;69142.3;55637.2;3925;1697.8;6811.9;642.5;30.4;397.5
jun-22;78343.8;61207.3;4120.2;4900.4;6774.1;657;100.4;584.5
jul-22;81670.7;66484.5;4587;1757.9;7741;695.3;68.7;336.3
ago-22;91834.5;71054.9;4842.7;5345.4;9300.6;747;39;505
sep-22;96997.8;81030.8;4830.1;1652.1;7823;932.3;100.6;628.9
oct-22;108956.6;88021.1;4675.9;4931.5;9011;1814;28.2;474.9
nov-22;113051.8;92653.8;5203.4;1807.5;9231.2;3411.1;23.7;721.2
dic-22;126672.4;98795.2;6943.8;4788.7;9129.7;6197.2;81.3;736.5
ene-23;142995.5;110799.6;14950.6;2356.5;11495.4;2837;30;526.4
feb-23;142053.7;106617.9;7524.9;13141.7;10902.4;3337.1;34.1;495.5
mar-23;130190.6;107785.1;6565.4;3855.7;9221.1;1698.7;212.8;851.8
abr-23;158522.1;129864;6600.6;9063.6;10950.7;1398.9;33;611.6
;;;;;;;;
